PEN Form,English
lɔk,angle/(fish with rod)
kaɪn,arm/hand
kʊdɪ,armpit
kuruo,ashes
tolu,axe
rrɔ-n/rrɔ-k,bad
doŋ,beat repeatedly/(forge/castrate completely)
kʸɛr,belch
dɛm,bewitch
kuɛɲ,bird
kʊt,blow
koyV-t,bone
kɔr,boundary
kɪn,breast(s) of woman
or,broom
duk,build
nʊk,bury
tagw,"calf, female -/heifer"
kuk,charcoal
kɔr,chicken
(Cɪ-)lɪk,"cold, be"
kɛn,count
"ki-tɛŋ / kɪ-tʊ(k), ki-tu(k)",cow/cattle
kurdʸ-a,coward(ly)
wɔrɔ,cow dung
ki-ɲaŋ,crocodile
laŋ,cross (a bridge)
duŋ,cut
paran,day(time)
tuan,"dead, be /die"
bɔk,dig
di,dog
(kV-)kat,door(way)/entrance to house
rudʸ,dream
lɪlɪm,drizzle (V)
mɛr,"drunk, be"
ɲa(m),eat
kattɪl,egg
tɔm-ɛ/tɔm-ɪa,elephant
merok,enemy
kɔŋ/kɔɲ,eye
kOmON,face/forehead
pirr,fat
ŋɔrɔnɔ,fatty residue (of milk or grains)
kopir,feather/hair
marɪŋ,fence
bʊlɛ,fig tree
lɪ,filter/strain
marua,fingermillet (beer)
kɪ-ma,fire
tur,flower
kɔ-dʸAŋ-a,fly (N)
pirr,fly (V)
laŋɛt,foot-bridge
ŋuan,four
dɔk,frog
ko-ri,giraffe
ki-nedʸ,goat (she-)
waka,"grasslands, ininhabited"
tapIN,guinea-fowl
"kɪ-pɪatʸ , kɪ-piadʸ",gun (thunderbolt)
gol,"hard/strong, be"
gol-on,become hard/strong/coagulate
deŋ,harvest/reap (by breaking)
kue / kue-ti(k),head
niŋ,hear
tau(dʸ),heart
ŋar-akɪn,help (V)
yok,herd/rear (V)
kadʸi,house
rrʊk,hump of cow
nan,I (1.SG)
rʊt,inherit
mɔɲɪt,intestines
kuŋ,knee
wo,leak/lick (V)
ko-gwor,leopard
mauɲ,liver
mayat,locust
lak,loosen/untie
yɛm-a,marriage
yɛm,marry
ki-riŋ,meat/flesh
lɛ,milk
kɪmatʸ,millet sp.
"lapatʸ, lʸapatʸ",moon/month
meor,mountain/stone
kutʊk,mouth/language
mʊrʊn,mutilation (of body)
karɪn,name
murut,neck
rɪp-ɛt,needle
diŋ,neglect (a person)/be jealous
"kɛ-wardʸ-e, kuardʸe",night
"ku-me, ku-me-tik",nose
kɛr,notch/cut up meat
mɔdʸɔŋ,old
mi,pain
kɪ-kɔ(ɪ)tʸ,path/road
rɔp,pay/reward
put,pick/take off
rem,pierce/spear
dɛ,pluck fruits
dot,pluck out/take out
rum,prod (e.g. ear lobe)
ki-tun/kituɲ,python
kudʸu,rain
mɪrdʸ,rat
ŋɛr,reap by cutting/tear (V)
mar,rib
tatɛn,right
bon-i(t)/bon-ok,ritual expert
kar-ɛ,river/water
kamʊl-ak,saliva
ka-muk,sandal/shoe
ki-ɲom-(it),seed/sesame
rɪp,sew (V)
ŋar,share
pɪ(tʸ),"sharp, be"
barɪn,shave
ki-leleŋ,sheep dung
buk-u,shield
REDUP-kɪr,shiver
ŋor,shoot (a bow)
dʸot-o,sleep
dʸot,sleeping place
kabʊr,slime
dɪt,small
puruo,smoke
munu,snake
balaŋ,soda ashes/alcalical salt
mɔŋ,speak secretly
pɛrɛ,spear
kɔkɔ,steal
kɔlɔŋ,sun
gɪr /gɛr,tattoo
kɔŋa,termite
kʊrɛ,thirst (and hunger)
"ki-kua, ku-kua",thorn
pʊt,"thread, animal tendon"
mater / matɛr,tick
"mo(i)tʸ, mɔ(ɪ)tʸ",tomorrow/in future
ŋa-dʸɛp / ŋa-dʸɛp-a,tongue
kela,tooth
lɔk-ɛt,trap
rɛ-(k),two
rut,unstring/uproot
dʸɪp-ɛt,utensil for cooking or roasting
murr,vein
pi,water
"tʸop, tʸɔp",wear
dʸɪp,wedge/raise the cooking pot upon the fire stones
kai-puk,wing
kurut,worm
yama,yawn
kɪ-ŋa,year
